Vivado Simulator 2020.2
Time resolution is 1 ps
Time=25000, TX=1, Done=1
Time=35000, TX=1, Done=1
Time=45000, TX=1, Done=1
Time=55000, TX=1, Done=1
Time=65000, TX=1, Done=1
Time=75000, TX=1, Done=1
Time=85000, TX=1, Done=1
Time=95000, TX=1, Done=1
Time=105000, TX=1, Done=1
Time=115000, TX=1, Done=1
Time=125000, TX=1, Done=1
Time=135000, TX=1, Done=1
Time=145000, TX=1, Done=1
Time=155000, TX=1, Done=1
Time=165000, TX=1, Done=1
Time=175000, TX=1, Done=1
Time=185000, TX=1, Done=1
Time=195000, TX=1, Done=1
Time=205000, TX=1, Done=1
Time=215000, TX=1, Done=1
Time=225000, TX=1, Done=1
Time=235000, TX=1, Done=1
Time=245000, TX=1, Done=1
Time=255000, TX=1, Done=1
Time=265000, TX=1, Done=1
Time=275000, TX=1, Done=1
Time=285000, TX=1, Done=1
Time=295000, TX=1, Done=1
Time=305000, TX=1, Done=1
Time=315000, TX=1, Done=1
Time=325000, TX=1, Done=1
Time=335000, TX=1, Done=1
Time=345000, TX=1, Done=1
Time=355000, TX=1, Done=1
Time=365000, TX=1, Done=1
Time=375000, TX=1, Done=1
Time=385000, TX=1, Done=1
Time=395000, TX=1, Done=1
Time=405000, TX=1, Done=1
Time=415000, TX=1, Done=1
Time=425000, TX=1, Done=1
Time=435000, TX=1, Done=1
Time=445000, TX=1, Done=1
Time=455000, TX=1, Done=1
Time=465000, TX=1, Done=1
Time=475000, TX=1, Done=1
Time=485000, TX=1, Done=1
Time=495000, TX=1, Done=1
Time=505000, TX=1, Done=1
Time=515000, TX=1, Done=1
Time=525000, TX=1, Done=1
Time=535000, TX=1, Done=1
Time=545000, TX=1, Done=1
Time=555000, TX=1, Done=1
Time=565000, TX=1, Done=1
Time=575000, TX=1, Done=1
Time=585000, TX=1, Done=1
Time=595000, TX=1, Done=1
Time=605000, TX=1, Done=1
Time=615000, TX=1, Done=1
Time=625000, TX=1, Done=1
Time=635000, TX=1, Done=1
Time=645000, TX=1, Done=1
Time=655000, TX=1, Done=1
Time=665000, TX=1, Done=1
Time=675000, TX=1, Done=1
Time=685000, TX=1, Done=1
Time=695000, TX=1, Done=1
Time=705000, TX=1, Done=1
Time=715000, TX=1, Done=1
Time=725000, TX=1, Done=1
Time=735000, TX=1, Done=1
Time=745000, TX=1, Done=1
Time=755000, TX=1, Done=1
Time=765000, TX=1, Done=1
Time=775000, TX=1, Done=1
Time=785000, TX=1, Done=1
Time=795000, TX=1, Done=1
Time=805000, TX=1, Done=1
Time=815000, TX=1, Done=1
Time=825000, TX=1, Done=1
Time=835000, TX=1, Done=1
Time=845000, TX=1, Done=1
Time=855000, TX=1, Done=1
Time=865000, TX=1, Done=1
Time=875000, TX=1, Done=1
Time=885000, TX=1, Done=1
Time=895000, TX=1, Done=1
Time=905000, TX=1, Done=1
Time=915000, TX=1, Done=1
Time=925000, TX=1, Done=1
Time=935000, TX=1, Done=1
Time=945000, TX=1, Done=1
Time=955000, TX=1, Done=1
Time=965000, TX=1, Done=1
Time=975000, TX=1, Done=1
Time=985000, TX=1, Done=1
Time=995000, TX=1, Done=1
